strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
0.17,0.28336534,0.145574322,0.092896021,0.240914777,97.84755599,74.66833499,73.45628646,-173016.0479,7310.617679,1753.445966
0.1725,0.251100405,0.019700916,0.11904015,0.284348234,98.05663196,74.56936203,73.3893453,-173018.4129,7345.77678,1761.878849
0.175,0.173543292,0.045285274,-0.058956563,0.285258939,98.26570794,74.49507532,73.29792717,-172952.066,7310.813392,1753.492908
0.1775,0.238151942,-0.009136358,0.117185987,0.302888759,98.47478391,74.43230644,73.24058793,-172934.1258,7324.245864,1756.714676
0.18,0.192085472,0.131130291,0.053371143,0.170304681,98.68385989,74.36961148,73.13281487,-172968.6975,7388.595449,1772.148874
0.1825,0.052870333,-0.114180028,-0.061845265,0.209295051,98.89293586,74.27405466,73.02519259,-172934.8443,7384.095637,1771.069597
0.185,0.279598204,0.073396089,0.048374975,0.310820768,99.10201183,74.25243275,72.97807577,-172887.5512,7365.588782,1766.630743
0.1875,0.365944735,0.162635556,0.214178613,0.258890449,99.31108781,74.20718182,72.91274971,-172871.5711,7379.142833,1769.881671
0.19,0.26619189,-0.080127634,-0.119034922,0.519471546,99.52016378,74.10981943,72.78634701,-172844.5062,7381.805821,1770.520387
0.1925,0.400364625,0.03983511,0.11501834,0.465893283,99.72923976,74.08315901,72.73317807,-172836.0664,7403.66107,1775.762351
0.195,0.438659444,0.263909402,0.092110966,0.424438603,99.93831573,74.03607616,72.6559211,-172838.8381,7435.941732,1783.504843
0.1975,0.267876692,-0.032025685,-0.074789468,0.457373232,100.1473917,73.89504643,72.56757326,-172810.5958,7436.377643,1783.609396
0.2,0.212461283,0.015229787,-0.021706163,0.308381129,100.3564677,73.79836492,72.5324762,-172783.2933,7436.238815,1783.576098
0.2025,0.29668081,0.064011334,0.113248977,0.300344249,100.5655437,73.72618339,72.50481236,-172750.3124,7429.676783,1782.0022
0.205,0.289735339,0.109095883,0.057883643,0.298342949,100.7746196,73.63537993,72.42789817,-172788.1166,7494.018089,1797.434412
0.2075,0.209804752,-0.032285619,-0.020374548,0.334263566,100.9836956,73.53216235,72.34829659,-172765.2218,7496.669663,1798.07039
0.21,0.267871389,0.030789374,0.074825056,0.30889142,101.1927716,73.47902232,72.29281847,-172717.0181,7473.749911,1792.573105
0.2125,0.285145934,0.10433216,0.097490679,0.260681648,101.4018476,73.42153348,72.2117089,-172720.837,7502.541076,1799.478644
0.215,0.168359587,0.028372157,-0.086703546,0.312883524,101.6109235,73.33203585,72.11663807,-172703.249,7508.882475,1800.999623
0.2175,0.21000983,0.072528381,0.014707191,0.245738804,101.8199995,73.25595855,72.08708597,-172667.1789,7497.320906,1798.22659
0.22,0.341591281,-0.035107811,0.132550772,0.462287292,102.0290755,73.16735058,72.04567611,-172667.0161,7520.9969,1803.905259
0.2225,0.308278098,0.013407205,0.103200221,0.37022772,102.2381514,73.11487956,71.94232425,-172694.2569,7571.91696,1816.118396
0.225,0.280988374,0.022097491,0.024374318,0.364527705,102.4472274,73.08466479,71.83275924,-172663.7428,7563.688733,1814.144862
0.2275,0.232240492,0.100403126,0.036813632,0.244164642,102.6563034,73.03596736,71.74385015,-172628.3144,7550.059176,1810.875823
0.23,0.220705664,-0.015378994,0.010886482,0.316938369,102.8653794,72.94732382,71.67146194,-172613.309,7556.23078,1812.356078
0.2325,0.294340088,0.093151424,0.043684683,0.325195277,103.0744553,72.88245473,71.61924104,-172627.551,7591.431,1820.798823
0.235,0.248029095,0.052692178,0.069977616,0.26487285,103.2835313,72.80052522,71.56094481,-172569.8246,7554.461176,1811.93164
0.2375,0.214513149,0.104305454,-0.06952568,0.350772085,103.4926073,72.70707963,71.48726504,-172576.6705,7581.873966,1818.506576
0.24,0.217804903,-0.083058038,0.126395351,0.37781601,103.7016833,72.60601696,71.43999651,-172599.0243,7623.751896,1828.550965
0.2425,0.255147308,0.037488851,0.078376317,0.283363675,103.9107592,72.56175388,71.35816958,-172617.3739,7660.703892,1837.413872
0.245,0.189117194,0.071737754,0.118848073,0.144689545,104.1198352,72.53417394,71.25491241,-172597.1583,7657.999837,1836.765307
0.2475,0.117618659,0.025322549,-0.003605152,0.155082547,104.3289112,72.48543352,71.13634055,-172586.2267,7662.853519,1837.929459
0.25,0.230132026,0.084464789,0.032200467,0.251251677,104.5379872,72.43163146,71.06023407,-172592.0557,7684.139233,1843.034821
0.2525,0.198522583,0.035981303,-0.022187865,0.280207819,104.7470631,72.37226206,71.00285347,-172504.5319,7611.963169,1825.723448
0.255,0.231734941,0.068343092,0.107777863,0.208847683,104.9561391,72.3147256,70.95129219,-172472.315,7595.02076,1821.659824
0.2575,0.229582911,0.025559389,-0.02614418,0.33120266,105.1652151,72.23734347,70.86016665,-172483.5492,7621.916112,1828.110653
0.26,0.284861993,0.013269794,0.084036032,0.345110489,105.3742911,72.16891143,70.79376822,-172492.6108,7647.001585,1834.127385
0.2625,0.221144338,0.022798051,0.047809061,0.264597655,105.583367,72.12125331,70.70521661,-172473.3902,7642.565112,1833.0633
0.265,0.229888609,0.037855966,0.022970749,0.282689063,105.792443,72.07277155,70.60357124,-172482.9685,7665.977053,1838.678636
0.2675,0.211196127,0.076423812,0.028839712,0.231693085,106.001519,72.0109893,70.51629267,-172517.0686,7713.445128,1850.063817
