strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
0.02725,0.861113623,-0.013671892,-0.017911911,1.240142559,83.69079301,80.76005749,81.48894168,-79186.23365,3007.091348,741.8562795
0.0275,0.930410445,-0.022429462,0.021984979,1.317237016,83.71116069,80.72920584,81.52936786,-79197.04519,3019.802518,744.9921542
0.02775,0.916201372,0.004405647,0.039804792,1.265185958,83.73152837,80.74231837,81.51644941,-79199.4081,3024.430208,746.1338158
0.028,0.883627895,0.024442708,0.004389765,1.229496236,83.75189605,80.76176894,81.46641412,-79185.28924,3012.690466,743.2375948
0.02825,0.877691239,-0.014469611,-0.042482071,1.281972933,83.77226373,80.76193356,81.41902266,-79185.34353,3014.822629,743.7636041
0.0285,0.923289948,0.003013546,0.013302314,1.294253456,83.79263141,80.78152143,81.43755264,-79172.36253,3004.328621,741.1747087
0.02875,0.925134591,0.008419249,0.006232767,1.297980109,83.81299909,80.76430053,81.44239518,-79178.36224,3012.38529,743.1623072
0.029,0.955593636,-0.045713009,-0.001748505,1.386020147,83.83336677,80.73346884,81.41505184,-79191.40678,3027.724097,746.9464257
0.02925,0.930086499,0.012121827,-0.014839781,1.317676645,83.85373445,80.76526338,81.39032207,-79172.29214,3011.325617,742.9008833
0.0295,0.981733574,0.059809796,-0.014314172,1.359245719,83.87410212,80.77054598,81.3848604,-79188.22973,3029.267444,747.327173
0.02975,0.969633136,0.021285586,-0.002630857,1.358393296,83.8944698,80.70859222,81.43050876,-79175.64045,3019.056944,744.8082193
0.03,0.968856303,-0.055321647,-0.011214374,1.418246966,83.91483748,80.63908221,81.47060085,-79168.10474,3013.794718,743.5100163
0.03025,0.973099496,-0.015729113,0.056943356,1.349964954,83.93520516,80.63569362,81.48364897,-79170.26952,3018.090415,744.5697744
0.0305,0.979592445,-0.022048477,-0.036375975,1.426773159,83.95557284,80.66829183,81.41239164,-79162.52481,3012.741697,743.2502336
0.03075,0.990866821,-0.039646782,-0.039658756,1.45737478,83.97594052,80.70893915,81.37936343,-79148.8912,3001.663053,740.5171068
0.031,1.011549368,-0.003366825,0.006289488,1.428529156,83.9963082,80.72308193,81.37551964,-79151.7638,3006.860209,741.7992572
0.03125,1.035563613,0.023841088,0.001141972,1.447109481,84.01667588,80.70899505,81.35185373,-79175.25001,3032.840435,748.208638
0.0315,0.985796422,0.013285985,-0.024202204,1.402597283,84.03704356,80.69011829,81.33956279,-79167.84828,3027.904955,746.9910438
0.03175,1.027876446,0.037856411,0.033989676,1.402841948,84.05741124,80.69698899,81.36883488,-79158.68997,3021.234254,745.3453668
0.032,0.982620831,0.013909029,-0.010604155,1.387623625,84.07777891,80.65542896,81.35205151,-79156.94092,3021.687302,745.4571347
0.03225,0.972191003,-0.051760018,-0.02277369,1.428030336,84.09814659,80.61045842,81.34891272,-79153.97875,3021.592632,745.4337793
0.0325,1.025046306,-0.034430622,0.022590712,1.459678051,84.11851427,80.64268677,81.36237446,-79146.8914,3016.525936,744.183814
0.03275,1.034356441,0.060472083,0.051964709,1.383335329,84.13888195,80.69303418,81.34238925,-79146.87233,3018.818435,744.7493786
0.033,1.008584346,-0.018955402,-0.031274481,1.461949408,84.15924963,80.66162868,81.27788913,-79148.80278,3023.05323,745.7941123
0.03325,1.03653269,-0.032494765,-0.033004919,1.512193988,84.17961731,80.66084114,81.27428112,-79144.28765,3021.105973,745.3137195
0.0335,1.059340982,0.028614701,0.055166697,1.439259417,84.19998499,80.68318155,81.32101748,-79126.00155,3005.221385,741.3949556
0.03375,1.036842576,0.011340127,-0.031429198,1.481448302,84.22035267,80.6284372,81.29288812,-79149.89701,3031.468343,747.8701398
0.034,1.037660512,-0.046417276,-0.050870633,1.536276192,84.24072035,80.58461285,81.29187051,-79138.68214,3022.9742,745.7746153
0.03425,1.080306533,0.052200489,0.05691947,1.450636201,84.26108803,80.61816987,81.32398516,-79143.5082,3030.1487,747.5445809
0.0345,1.029822098,-0.023401405,-0.006053498,1.477368927,84.2814557,80.59780877,81.28006486,-79125.75151,3014.825576,743.7643313
0.03475,1.025100096,-0.005779364,-0.005372462,1.457596076,84.30182338,80.60963022,81.24445432,-79143.09297,3034.248406,748.5559875
0.035,1.046910945,0.053497192,0.02168459,1.427925769,84.32219106,80.64951805,81.24400032,-79127.73135,3021.641293,745.4457842
0.03525,1.074922294,0.001705819,0.011980812,1.510544197,84.34255874,80.61296758,81.23344549,-79134.68654,3030.737789,747.6899103
0.0355,1.026185606,-0.049493534,-0.011857623,1.495338029,84.36292642,80.56086816,81.22971995,-79134.47652,3032.950479,748.2357862
0.03575,1.106355479,0.043226054,0.080087908,1.478116402,84.3832941,80.60817642,81.25374642,-79135.39362,3036.065294,749.0042181
0.036,1.044584711,-0.017377497,-0.002646892,1.491534361,84.40366178,80.61260483,81.20864932,-79097.62331,3000.979282,740.348419
0.03625,1.035713955,-0.035399918,-0.05466523,1.528588515,84.42402946,80.60499766,81.15930054,-79105.30629,3011.011419,742.8233699
0.0365,1.070466783,0.043504883,-0.018426255,1.498056827,84.44439714,80.62662379,81.15645233,-79111.45904,3019.46817,744.9096697
0.03675,1.096280812,0.014047555,0.004169623,1.5375413,84.46476482,80.61289709,81.17985754,-79106.91179,3017.119924,744.3303521
0.037,1.051624533,0.023038824,-0.010545298,1.4789595,84.48513249,80.57098714,81.19991393,-79088.81705,3001.484729,740.4731139
0.03725,1.080696236,-0.061574648,-0.021583278,1.58789238,84.50550017,80.5089842,81.21112415,-79103.15914,3018.096552,744.5712884
0.0375,1.135079427,0.00292039,0.041254609,1.574708331,84.52586785,80.52672263,81.24277622,-79103.62678,3021.003025,745.2883219
0.03775,1.095525588,0.034480169,0.039874077,1.496745332,84.54623553,80.53861909,81.21955826,-79096.61463,3016.718635,744.2313531
0.038,1.075839172,-0.054007124,-0.032331819,1.582739845,84.56660321,80.50829217,81.15950007,-79095.12769,3017.740937,744.4835574
0.03825,1.115596496,-0.013417475,0.020365816,1.573322631,84.58697089,80.53950023,81.16796081,-79082.41244,3007.70938,742.0087494
0.0385,1.154509381,0.036538986,0.06715342,1.559851927,84.60733857,80.55708984,81.15447656,-79119.28998,3046.557344,751.5926306
0.03875,1.093554264,-0.033838675,-0.030345853,1.591910335,84.62770625,80.5397488,81.09932265,-79094.71898,3024.60467,746.1768561
0.039,1.128945212,0.016927383,-0.011717813,1.593272211,84.64807393,80.56228249,81.11036746,-79087.83543,3020.398316,745.139139
0.03925,1.138669438,0.010508927,0.019411829,1.589201999,84.66844161,80.54171097,81.13412304,-79084.92299,3019.716057,744.970824
0.0395,1.150005081,-0.018162333,0.01100735,1.631803238,84.68880928,80.51535323,81.11043589,-79089.4158,3027.052404,746.7807176
0.03975,1.169099821,0.00147813,-0.007044351,1.657325604,84.70917696,80.5461995,81.08829696,-79093.64589,3033.537419,748.3805854
0.04,1.151509219,0.060880546,0.023503798,1.569478945,84.72954464,80.57340351,81.07882588,-79078.91019,3021.459156,745.4008506
0.04025,1.101148018,-0.042280759,-0.048743292,1.621641501,84.74991232,80.50980062,81.0589194,-79072.58463,3017.73661,744.48249
0.0405,1.15249147,0.01445371,0.013282876,1.610256978,84.77028,80.47943285,81.11200253,-79078.4567,3026.122605,746.5513341
0.04075,1.150962668,0.013683758,0.025906255,1.599782685,84.79064768,80.44587071,81.14772414,-79062.1362,3012.683826,743.2359567
0.041,1.16505646,-0.091397892,-0.010971629,1.722842995,84.81101536,80.41945874,81.11927325,-79056.10541,3009.076831,742.3461028
0.04125,1.12290428,0.007282083,-0.040289558,1.612419254,84.83138304,80.48302512,81.08104817,-79033.77084,2989.275932,737.4611759
0.0415,1.192906134,0.027069695,0.007590063,1.662687055,84.85175072,80.5216509,81.03858943,-79054.08842,3012.356617,743.1552335
0.04175,1.1757145,-0.002755526,-0.036445662,1.690934323,84.8721184,80.50962111,80.99375651,-79070.38497,3031.080039,747.7743443
0.042,1.163363748,0.029419148,-0.019351756,1.639214727,84.89248607,80.5132585,81.00996291,-79049.92024,3013.299437,743.3878294
0.04225,1.176622019,0.066704851,0.019288761,1.604239594,84.91285375,80.48922589,81.03567653,-79063.87625,3029.4524,747.372802
0.0425,1.12368294,-0.029236201,-0.029738098,1.630828897,84.93322143,80.41822094,81.02627529,-79055.32296,3023.55843,745.9187462
0.04275,1.16813808,-0.022109517,0.008063839,1.662339321,84.95358911,80.42145249,81.04771863,-79050.73462,3021.351246,745.3742289
0.043,1.155661392,0.034365062,0.045811775,1.577720715,84.97395679,80.45466904,81.03642206,-79044.60332,3017.730473,744.480976
0.04325,1.154458665,0.005637151,-0.051566057,1.666600944,84.99432447,80.44630679,80.96503682,-79046.40872,3022.068736,745.5512353
0.0435,1.163886871,-0.01695687,-0.021738378,1.673356518,85.01469215,80.4512609,80.96350101,-79046.72301,3024.608877,746.1778939
0.04375,1.169976182,0.052407248,0.004128631,1.615701599,85.03505983,80.46128058,80.98904481,-79038.42092,3018.621922,744.7008984
0.044,1.167651608,-0.009846775,0.037261945,1.632942884,85.05542751,80.40967899,81.01171158,-79037.79398,3020.277349,745.109296
0.04425,1.161015285,0.001488297,-0.003427597,1.643305883,85.07579519,80.36602558,80.99090259,-79060.64957,3045.543028,751.3423966
0.0445,1.163063438,-0.00784363,0.003540311,1.647921975,85.09616286,80.3814905,80.99298718,-79036.21564,3023.30731,745.8567944
0.04475,1.187299017,0.045278737,0.046670943,1.614077031,85.11653054,80.41748381,80.98343974,-79044.91111,3034.168403,748.5362507
0.045,1.160116692,0.005970994,-0.02229296,1.652556725,85.13689822,80.41673553,80.92902991,-79031.15686,3023.015056,745.7846947
0.04525,1.196697592,0.027619197,-0.000505001,1.673567839,85.1572659,80.42821323,80.92140363,-79031.13093,3025.419129,746.3777848
0.0455,1.230655494,0.006647218,-0.002010118,1.737163125,85.17763358,80.41140391,80.90752472,-79029.31351,3026.365778,746.6113253
0.04575,1.152333313,-0.022059701,-0.034216496,1.669505073,85.19800126,80.40532746,80.88774487,-79012.59448,3012.038394,743.076727
0.046,1.18976378,0.0248271,0.008866366,1.658870373,85.21836894,80.41880709,80.90356689,-79027.96053,3029.600604,747.4093642
0.04625,1.214037577,0.052466308,0.01626127,1.668899847,85.23873662,80.42006594,80.90130438,-79014.50269,3019.047297,744.8058394
0.0465,1.14382449,-0.074631634,-0.037978472,1.697833037,85.2591043,80.36544669,80.88616874,-78988.64535,2995.857694,739.0849117
0.04675,1.201650041,0.009094342,0.008032754,1.687279601,85.27947198,80.38069714,80.90802427,-79001.42539,3011.104287,742.8462808
0.047,1.253836974,0.025909412,-0.002406942,1.756916813,85.29983965,80.39193041,80.89261539,-79002.14424,3014.485362,743.6803997
0.04725,1.219723154,-0.004417339,-0.03459008,1.752921,85.32020733,80.36741391,80.86080249,-79002.38074,3017.214617,744.3537132
0.0475,1.212111623,-0.00272788,-0.026396492,1.735020915,85.34057501,80.36315027,80.8599422,-78999.45998,3017.079438,744.3203641
0.04775,1.24873887,0.020064881,0.035593616,1.726731688,85.36094269,80.35193615,80.88249641,-79010.63122,3030.756511,747.6945292
0.048,1.197162178,-0.019629007,0.004865503,1.703746497,85.38131037,80.32453388,80.88019892,-79000.38239,3023.24116,745.840475
0.04825,1.240643744,-0.009703558,0.017406408,1.749403586,85.40167805,80.33879078,80.86433822,-78998.6211,3024.036655,746.0367253
0.0485,1.231646372,0.016115556,-0.000913305,1.731187021,85.42204573,80.37484693,80.82807779,-78977.65904,3006.184669,741.6325997
0.04875,1.231792264,-0.000124593,-0.041702555,1.772325287,85.44241341,80.3704918,80.79249634,-78989.46575,3020.604518,745.1900093
0.049,1.230809079,0.010955662,0.000534251,1.732549312,85.46278109,80.34911779,80.81104726,-78981.45964,3015.428566,743.9130903
0.04925,1.272340028,-0.011657759,0.030799947,1.786581861,85.48314877,80.32490448,80.84264562,-78980.57648,3017.379342,744.3943512
0.0495,1.257656962,0.022037289,0.035956864,1.737671103,85.50351644,80.30985202,80.83004316,-78997.9037,3037.214605,749.2877557
0.04975,1.210046686,-0.014247577,-0.041001553,1.750638146,85.52388412,80.28465779,80.79879139,-78990.70131,3032.915364,748.2271231
0.05,1.223790754,0.003016343,0.03304461,1.705599085,85.5442518,80.30606248,80.8282728,-78964.71079,3009.700093,742.4998628
0.05025,1.262681281,-0.008888881,0.012286,1.78348743,85.56461948,80.32369636,80.79977982,-78963.55872,3010.85403,742.7845419
0.0505,1.255626061,0.020117694,-0.018602356,1.775285393,85.58498716,80.32895661,80.72841455,-78985.64121,3035.651953,748.9022458
0.05075,1.190608865,0.005616734,-0.02306592,1.696477388,85.60535484,80.31620515,80.71350153,-78982.20748,3034.933662,748.7250419
0.051,1.199653714,0.030347729,0.020592555,1.660589314,85.62572252,80.30613095,80.7797216,-78958.99561,3013.773633,743.5048145
0.05125,1.257756183,-0.011761667,0.036862727,1.761993398,85.6460902,80.2658879,80.78729797,-78962.90838,3020.214859,745.0938796
0.0515,1.195803273,-0.039577883,-0.050830733,1.755103864,85.66645788,80.24852922,80.73481965,-78967.29628,3026.85034,746.7308679
0.05175,1.290504331,0.022787601,-0.003518142,1.811709651,85.68682556,80.28900534,80.7610066,-78947.13723,3009.26722,742.3930721
