strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
0.03625,19.11038496,-0.096450839,-0.110926548,27.17280933,64.91389418,62.67027413,62.08614131,-136745.7196,2211.329231,1091.114703
0.036875,19.59051743,0.046943192,0.069390841,27.62292854,64.9530461,62.6774391,62.09730011,-136713.7849,2201.980716,1086.501956
0.0375,19.71889857,0.016773376,-0.001308538,27.87580729,64.99219803,62.67968154,62.05810085,-136717.11,2227.992071,1099.336486
0.038125,19.99423962,-0.202870066,-0.150244865,28.52588762,65.03134996,62.66844218,62.03674718,-136663.1403,2197.165379,1084.125971
0.03875,20.31621585,0.200676852,0.153951986,28.48076503,65.07050188,62.6844608,62.03259811,-136661.132,2218.335299,1094.571639
0.039375,20.58539243,0.135709718,-0.029361366,29.03764531,65.10965381,62.69333542,61.99510834,-136642.0508,2222.998,1096.87231
0.04,20.67955975,-0.214287043,-0.125671421,29.48590053,65.14880574,62.659273,61.98729272,-136608.376,2213.27148,1092.073048
0.040625,21.10999475,0.00744944,0.080945991,29.79167186,65.18795766,62.67398258,61.97727311,-136580.3138,2209.440551,1090.182789
0.04125,21.15524661,0.025176737,-0.094175928,29.96718299,65.22710959,62.69384751,61.93142493,-136530.2234,2183.775076,1077.518924
0.041875,21.65266093,-0.04012474,0.012920114,30.6407922,65.26626152,62.68214128,61.93625234,-136524.5602,2202.710989,1086.862287
0.0425,21.83827953,-0.126716556,-0.01073329,30.98150846,65.30541344,62.67585612,61.908984,-136498.9031,2202.06394,1086.54302
0.043125,22.1355621,0.058785587,-0.007030215,31.26791946,65.34456537,62.69439507,61.87825364,-136492.841,2220.990927,1095.88198
0.04375,22.40178881,0.055416926,0.105680783,31.56706029,65.3837173,62.68869902,61.87669485,-136454.8221,2208.661369,1089.798325
0.044375,22.53836758,-0.11954957,0.036032694,31.93368897,65.42286922,62.67654464,61.8659644,-136419.8426,2199.572032,1085.313462
0.045,22.75689745,-0.16076891,-0.118136003,32.38037067,65.46202115,62.6865187,61.81814751,-136389.1856,2194.777155,1082.947573
0.045625,23.15180002,0.141942615,0.035074336,32.61668232,65.50117308,62.70972113,61.79987354,-136387.1475,2218.981419,1094.890448
0.04625,23.31765882,-0.171481023,-0.005106543,33.10164279,65.540325,62.68477821,61.80765166,-136324.6629,2183.133038,1077.202129
0.046875,23.46750778,-0.154279259,-0.213246474,33.44802568,65.57947693,62.6972898,61.75350517,-136325.1262,2210.25772,1090.585997
0.0475,23.74428188,0.153464318,0.086784186,33.40970393,65.61862886,62.71048664,61.741127,-136280.2409,2192.571796,1081.859404
0.048125,24.10582774,0.085336665,0.098000451,33.96115314,65.65778078,62.69339886,61.75873301,-136273.1011,2212.893351,1091.886471
0.04875,24.21170998,-0.207586883,-0.152570398,34.49526409,65.69693271,62.69232964,61.70384672,-136240.5646,2207.394505,1089.173229
0.049375,24.39105033,0.054169693,-0.166216251,34.57443668,65.73608463,62.72533571,61.6591931,-136201.817,2196.54559,1083.820154
0.05,24.78239008,0.334870023,0.277347305,34.61476082,65.77523656,62.71031886,61.69531329,-136181.1471,2203.873735,1087.43601
0.050625,24.95276687,-0.280615388,-0.034337397,35.51252755,65.81438849,62.69611642,61.66710025,-136146.0944,2197.322023,1084.203262
0.05125,25.04443266,-0.167472228,-0.211840014,35.68643197,65.85354041,62.71843808,61.60443903,-136123.8251,2203.325932,1087.165713
0.051875,25.32897506,0.177625168,0.183566142,35.56517997,65.89269234,62.71889112,61.62711764,-136078.2824,2186.781141,1079.002177
0.0525,25.55203479,0.011984139,-0.002871906,36.12959541,65.93184427,62.71637561,61.59868236,-136070.6924,2207.725576,1089.336586
0.053125,25.69469325,-0.171887757,-0.128499175,36.55022794,65.97099619,62.72186509,61.54799764,-136032.9336,2199.339454,1085.198703
0.05375,25.93041307,0.272284173,0.131016654,36.38637644,66.01014812,62.73614081,61.55859619,-136009.7245,2205.335637,1088.157342
0.054375,26.04939755,-0.113137229,-0.051335624,36.9557887,66.04930005,62.72008761,61.53417249,-135961.7497,2187.179434,1079.198703
0.055,26.36792855,-0.067691653,-0.014293136,37.34791143,66.08845197,62.72171442,61.51364654,-135947.0964,2202.284505,1086.651852
0.055625,26.62630317,-0.072391345,0.024837853,37.68909258,66.1276039,62.73073148,61.49640044,-135915.9205,2201.110288,1086.072469
0.05625,26.71225971,-0.067911731,-0.059730875,37.86709824,66.16675583,62.73363787,61.47536308,-135880.546,2195.980006,1083.541084
0.056875,26.95546325,0.01142531,-0.004957986,38.1162139,66.20590775,62.7313551,61.45616104,-135865.5456,2211.036224,1090.970127
0.0575,27.16991369,0.251230526,0.172222036,38.12475705,66.24505968,62.74906853,61.444109,-135827.312,2203.586342,1087.294204
